,geometry,month_timestamp,detection_drives_count,avg_speed,near_miss_pedestrian_ratio,near_miss_bicycle_ratio,near_miss_vehicle_ratio,avg_pedestrian_on_road_volume,avg_bicycle_on_road_volume,braking_count,cornering_count,harsh_braking_ratio,harsh_cornering_ratio
2652,"[[34.785393, 32.065451], [34.785619, 32.065483]]",1/1/2021,72,37.78298562,0,0,0.013888889,0.013888889,0.013888889,13,35,0,0
2653,"[[34.764902, 32.073608], [34.764441, 32.072395]]",1/1/2021,1200,47.07736686,0,0,0.000833333,0.106666667,0.1,141,366,0,0
2654,"[[34.762828, 32.066116], [34.762329, 32.064881]]",1/1/2021,944,50.04349817,0,0,0.006355932,0.016949153,0.009533898,168,413,0,0.004627329
2655,"[[34.761005, 32.061651], [34.760682, 32.060868]]",1/1/2021,863,46.60660565,0,0,0.005793743,0.010428737,0.00811124,206,445,0,0.000832292
2656,"[[34.763011, 32.066603], [34.762828, 32.066116]]",1/1/2021,925,40.42206643,0.003243243,0,0.008648649,0.005405405,0.011891892,160,495,0,0.005436172
2657,"[[34.759779, 32.057386], [34.759775, 32.057277]]",1/1/2021,223,25.5711632,0,0,0.004484305,0.031390135,0.013452915,36,129,0,0
2658,"[[34.759934, 32.05891], [34.759863, 32.058517]]",1/1/2021,355,33.03508445,0,0,0.014084507,0.005633803,0.01971831,44,146,0,0.015251671
2659,"[[34.776093, 32.034382], [34.775838, 32.033911]]",1/1/2021,666,67.94415432,0,0,0,0,0.003003003,62,438,0,0
2660,"[[34.785455, 32.048487], [34.785723, 32.048032]]",1/1/2021,859,82.90623605,0,0,0,0,0,0,1,0,0
2661,"[[34.773075, 32.08969], [34.773795, 32.089551]]",1/1/2021,368,20.57373175,0.010869565,0,0.024456522,0.0625,0.016304348,90,98,0,0
2662,"[[34.775862, 32.055493], [34.776162, 32.056058]]",1/1/2021,551,32.6853996,0.001814882,0,0.016333938,0.021778584,0.01814882,189,298,0,0.003639245
2663,"[[34.779193, 32.060418], [34.779403, 32.060703]]",1/1/2021,459,30.81417889,0.010893246,0.002178649,0.002178649,0.043572985,0.02832244,77,230,0,0.007228039
2664,"[[34.781171, 32.09863], [34.780006, 32.09855]]",1/1/2021,880,33.56929725,0.001136364,0.001136364,0.015909091,0.010227273,0.001136364,423,547,0,0
2665,"[[34.783991, 32.050206], [34.783913, 32.050044]]",1/1/2021,569,40.94663244,0,0,0.005272408,0.001757469,0,37,285,0,0.000877193
2666,"[[34.76988, 32.084933], [34.769934, 32.085037]]",1/1/2021,113,28.30832814,0,0,0,0.03539823,0,10,87,0,0.011494253
2667,"[[34.778921, 32.073874], [34.779024, 32.074173]]",1/1/2021,119,21.71155418,0,0,0,0.226890756,0.117647059,0,0,0,0
2668,"[[34.781899, 32.102028], [34.781851, 32.102001]]",1/1/2021,619,36.60380339,0,0,0,0,0,83,476,0,0.052521008
2669,"[[34.784479, 32.102342], [34.781942, 32.102049]]",1/1/2021,950,48.84526372,0.002105263,0,0.006315789,0.004210526,0.006315789,487,512,0,0.010369688
2670,"[[34.782911, 32.091785], [34.782889, 32.091678]]",1/1/2021,1510,35.22598955,0,0,0.001324503,0.001324503,0.002649007,161,1115,0,0.00109254
2671,"[[34.783181, 32.098723], [34.783222, 32.098659]]",1/1/2021,611,39.48092655,0,0.001636661,0,0.001636661,0,56,390,0,0.003846154
2672,"[[34.783634, 32.09522], [34.78362, 32.095169]]",1/1/2021,1495,41.87960267,0,0,0.000668896,0.000668896,0,235,1103,0,0.000453309
2673,"[[34.78362, 32.095169], [34.783554, 32.094737]]",1/1/2021,1639,38.84544902,0,0,0.004270897,0.006711409,0.003660769,613,1185,0,0.00080694
2674,"[[34.785891, 32.060152], [34.785697, 32.059392]]",1/1/2021,2257,57.74859669,0.005759858,0.000886132,0.014621179,0.003101462,0.000443066,231,315,0,0.0012496
2675,"[[34.776827, 32.083106], [34.777333, 32.082819]]",1/1/2021,606,32.79624765,0.001650165,0.004950495,0.01980198,0.028052805,0.03630363,104,278,0,0.005726155
2676,"[[34.772362, 32.084819], [34.771407, 32.085079]]",1/1/2021,139,21.96399411,0,0,0,0.294964029,0.035971223,0,0,0,0
2677,"[[34.775323, 32.07403], [34.774784, 32.07433]]",1/1/2021,770,24.90193569,0.001298701,0,0.009090909,0.102597403,0.071428571,30,115,0,0
